created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3,
2021-09-14 00:00:00 UTC,10.13,20.66,21.65,32.28,-54.60,77.53,29.16,20.66,
2021-09-15 00:00:00 UTC,17.20,35.26,39.19,579.86,-52.09,78.40,29.57,24.42,
2021-09-16 00:00:00 UTC,46.71,90.84,100.12,139.84,-57.76,91.17,21.84,62.49,
2021-09-17 00:00:00 UTC,,,,,,,,,
2021-09-18 00:00:00 UTC,,,,,,,,,
2021-09-19 00:00:00 UTC,,,,,,,,,
2021-09-20 00:00:00 UTC,,,,,,,,,
2021-09-21 00:00:00 UTC,,,,,,,,,
2021-09-22 00:00:00 UTC,,,,,,,,,
2021-09-23 00:00:00 UTC,,,,,,,,,
2021-09-24 00:00:00 UTC,,,,,,,,,
2021-09-25 00:00:00 UTC,,,,,,,,,
2021-09-26 00:00:00 UTC,,,,,,,,,
2021-09-27 00:00:00 UTC,,,,,,,,,
2021-09-28 00:00:00 UTC,,,,,,,,,
2021-09-29 00:00:00 UTC,,,,,,,,,
2021-09-30 00:00:00 UTC,,,,,,,,,
2021-10-01 00:00:00 UTC,,,,,,,,,
2021-10-02 00:00:00 UTC,,,,,,,,,
2021-10-03 00:00:00 UTC,,,,,,,,,
2021-10-04 00:00:00 UTC,,,,,,,,,
2021-10-05 00:00:00 UTC,,,,,,,,,
2021-10-06 00:00:00 UTC,,,,,,,,,
2021-10-07 00:00:00 UTC,,,,,,,,,
2021-10-08 00:00:00 UTC,,,,,,,,,
2021-10-09 00:00:00 UTC,,,,,,,,,
2021-10-10 00:00:00 UTC,,,,,,,,,
2021-10-11 00:00:00 UTC,,,,,,,,,
2021-10-12 00:00:00 UTC,,,,,,,,,
2021-10-13 00:00:00 UTC,,,,,,,,,
2021-10-14 00:00:00 UTC,,,,,,,,,
2021-10-15 00:00:00 UTC,,,,,,,,,
2021-10-16 00:00:00 UTC,,,,,,,,,
2021-10-17 00:00:00 UTC,,,,,,,,,
2021-10-18 00:00:00 UTC,,,,,,,,,
2021-10-19 00:00:00 UTC,,,,,,,,,
2021-10-20 00:00:00 UTC,,,,,,,,,
2021-10-21 00:00:00 UTC,,,,,,,,,
2021-10-22 00:00:00 UTC,,,,,,,,,
2021-10-23 00:00:00 UTC,,,,,,,,,
2021-10-24 00:00:00 UTC,,,,,,,,,
2021-10-25 00:00:00 UTC,,,,,,,,,
2021-10-26 00:00:00 UTC,,,,,,,,,
2021-10-27 00:00:00 UTC,,,,,,,,,
2021-10-28 00:00:00 UTC,,,,,,,,,
2021-10-29 00:00:00 UTC,,,,,,,,,
2021-10-30 00:00:00 UTC,,,,,,,,,
2021-10-31 00:00:00 UTC,,,,,,,,,
2021-11-01 00:00:00 UTC,,,,,,,,,
2021-11-02 00:00:00 UTC,,,,,,,,,
2021-11-03 00:00:00 UTC,,,,,,,,,
2021-11-04 00:00:00 UTC,,,,,,,,,
2021-11-05 00:00:00 UTC,,,,,,,,,
2021-11-06 00:00:00 UTC,,,,,,,,,
2021-11-07 00:00:00 UTC,,,,,,,,,
2021-11-07 00:00:00 UTC,,,,,,,,
2021-11-08 00:00:00 UTC,,,,,,,,,
2021-11-08 00:00:00 UTC,,,,,,,,
2021-11-09 00:00:00 UTC,,,,,,,,,
2021-11-09 00:00:00 UTC,,,,,,,,
2021-11-10 00:00:00 UTC,,,,,,,,,
2021-11-10 00:00:00 UTC,,,,,,,,
2021-11-11 00:00:00 UTC,,,,,,,,,
2021-11-11 00:00:00 UTC,,,,,,,,
2021-11-12 00:00:00 UTC,,,,,,,,,
2021-11-12 00:00:00 UTC,,,,,,,,
2021-11-13 00:00:00 UTC,,,,,,,,,
2021-11-13 00:00:00 UTC,,,,,,,,
2021-11-14 00:00:00 UTC,,,,,,,,,
2021-11-14 00:00:00 UTC,,,,,,,,
2021-11-15 00:00:00 UTC,,,,,,,,,
2021-11-15 00:00:00 UTC,,,,,,,,
2021-11-16 00:00:00 UTC,,,,,,,,,
2021-11-16 00:00:00 UTC,,,,,,,,
2021-11-17 00:00:00 UTC,,,,,,,,,
2021-11-17 00:00:00 UTC,,,,,,,,
2021-11-18 00:00:00 UTC,,,,,,,,,
2021-11-18 00:00:00 UTC,,,,,,,,
2021-11-19 00:00:00 UTC,,,,,,,,,
2021-11-19 00:00:00 UTC,,,,,,,,
2021-11-20 00:00:00 UTC,,,,,,,,,
2021-11-20 00:00:00 UTC,,,,,,,,
2021-11-21 00:00:00 UTC,,,,,,,,,
2021-11-21 00:00:00 UTC,,,,,,,,
2021-11-22 00:00:00 UTC,,,,,,,,,
2021-11-22 00:00:00 UTC,,,,,,,,
2021-11-23 00:00:00 UTC,,,,,,,,,
2021-11-23 00:00:00 UTC,,,,,,,,
2021-11-24 00:00:00 UTC,,,,,,,,,
2021-11-24 00:00:00 UTC,,,,,,,,
2021-11-25 00:00:00 UTC,,,,,,,,,
2021-11-25 00:00:00 UTC,,,,,,,,
2021-11-26 00:00:00 UTC,,,,,,,,,
2021-11-26 00:00:00 UTC,,,,,,,,
2021-11-27 00:00:00 UTC,,,,,,,,,
2021-11-27 00:00:00 UTC,,,,,,,,
2021-11-28 00:00:00 UTC,,,,,,,,,
2021-11-28 00:00:00 UTC,,,,,,,,
2021-11-29 00:00:00 UTC,,,,,,,,,
2021-11-29 00:00:00 UTC,,,,,,,,
2021-11-30 00:00:00 UTC,,,,,,,,,
2021-11-30 00:00:00 UTC,,,,,,,,
2021-12-01 00:00:00 UTC,,,,,,,,,
2021-12-01 00:00:00 UTC,,,,,,,,
2021-12-02 00:00:00 UTC,,,,,,,,,
2021-12-02 00:00:00 UTC,,,,,,,,
2021-12-03 00:00:00 UTC,,,,,,,,,
2021-12-03 00:00:00 UTC,,,,,,,,
2021-12-04 00:00:00 UTC,,,,,,,,,
2021-12-04 00:00:00 UTC,,,,,,,,
2021-12-05 00:00:00 UTC,,,,,,,,,
2021-12-05 00:00:00 UTC,,,,,,,,
2021-12-06 00:00:00 UTC,,,,,,,,,
2021-12-06 00:00:00 UTC,,,,,,,,
2021-12-07 00:00:00 UTC,,,,,,,,,
2021-12-07 00:00:00 UTC,,,,,,,,
2021-12-08 00:00:00 UTC,,,,,,,,,
2021-12-08 00:00:00 UTC,,,,,,,,
2021-12-09 00:00:00 UTC,,,,,,,,,
2021-12-09 00:00:00 UTC,,,,,,,,
2021-12-10 00:00:00 UTC,,,,,,,,,
2021-12-10 00:00:00 UTC,,,,,,,,
2021-12-11 00:00:00 UTC,,,,,,,,,
2021-12-11 00:00:00 UTC,,,,,,,,
2021-12-12 00:00:00 UTC,,,,,,,,,
2021-12-12 00:00:00 UTC,,,,,,,,
2021-12-13 00:00:00 UTC,,,,,,,,,
2021-12-13 00:00:00 UTC,,,,,,,,
2021-12-14 00:00:00 UTC,,,,,,,,,
2021-12-14 00:00:00 UTC,,,,,,,,
2021-12-15 00:00:00 UTC,,,,,,,,,
2021-12-15 00:00:00 UTC,,,,,,,,
2021-12-16 00:00:00 UTC,,,,,,,,,
2021-12-16 00:00:00 UTC,,,,,,,,
2021-12-17 00:00:00 UTC,,,,,,,,,
2021-12-17 00:00:00 UTC,,,,,,,,
2021-12-18 00:00:00 UTC,,,,,,,,,
2021-12-18 00:00:00 UTC,,,,,,,,
2021-12-19 00:00:00 UTC,,,,,,,,,
2021-12-19 00:00:00 UTC,,,,,,,,
2021-12-20 00:00:00 UTC,,,,,,,,,
2021-12-20 00:00:00 UTC,,,,,,,,
2021-12-21 00:00:00 UTC,,,,,,,,,
2021-12-21 00:00:00 UTC,,,,,,,,
2021-12-22 00:00:00 UTC,,,,,,,,,
2021-12-22 00:00:00 UTC,,,,,,,,
2021-12-23 00:00:00 UTC,,,,,,,,,
2021-12-23 00:00:00 UTC,,,,,,,,
2021-12-24 00:00:00 UTC,,,,,,,,,
2021-12-24 00:00:00 UTC,,,,,,,,
2021-12-25 00:00:00 UTC,,,,,,,,,
2021-12-25 00:00:00 UTC,,,,,,,,
2021-12-26 00:00:00 UTC,,,,,,,,,
2021-12-26 00:00:00 UTC,,,,,,,,
2021-12-27 00:00:00 UTC,,,,,,,,,
2021-12-27 00:00:00 UTC,,,,,,,,
2021-12-28 00:00:00 UTC,,,,,,,,,
2021-12-28 00:00:00 UTC,,,,,,,,
2021-12-29 00:00:00 UTC,,,,,,,,,
2021-12-29 00:00:00 UTC,,,,,,,,
2021-12-30 00:00:00 UTC,,,,,,,,,
2021-12-30 00:00:00 UTC,,,,,,,,
2021-12-31 00:00:00 UTC,,,,,,,,,
2021-12-31 00:00:00 UTC,,,,,,,,
2022-01-01 00:00:00 UTC,,,,,,,,,
2022-01-01 00:00:00 UTC,,,,,,,,
2022-01-02 00:00:00 UTC,,,,,,,,,
2022-01-02 00:00:00 UTC,,,,,,,,
2022-01-03 00:00:00 UTC,,,,,,,,,
2022-01-03 00:00:00 UTC,,,,,,,,
2022-01-04 00:00:00 UTC,,,,,,,,,
2022-01-04 00:00:00 UTC,,,,,,,,
2022-01-05 00:00:00 UTC,,,,,,,,,
2022-01-05 00:00:00 UTC,,,,,,,,
2022-01-06 00:00:00 UTC,,,,,,,,,
2022-01-06 00:00:00 UTC,,,,,,,,
2022-01-07 00:00:00 UTC,,,,,,,,,
2022-01-07 00:00:00 UTC,,,,,,,,
2022-01-08 00:00:00 UTC,,,,,,,,,
2022-01-08 00:00:00 UTC,,,,,,,,
2022-01-09 00:00:00 UTC,,,,,,,,,
2022-01-09 00:00:00 UTC,,,,,,,,
2022-01-10 00:00:00 UTC,,,,,,,,,
2022-01-10 00:00:00 UTC,,,,,,,,
2022-01-11 00:00:00 UTC,,,,,,,,,
2022-01-11 00:00:00 UTC,,,,,,,,
2022-01-12 00:00:00 UTC,,,,,,,,,
2022-01-12 00:00:00 UTC,,,,,,,,
2022-01-13 00:00:00 UTC,,,,,,,,,
2022-01-13 00:00:00 UTC,,,,,,,,
2022-01-14 00:00:00 UTC,,,,,,,,,
2022-01-14 00:00:00 UTC,,,,,,,,
2022-01-15 00:00:00 UTC,,,,,,,,,
2022-01-15 00:00:00 UTC,,,,,,,,
2022-01-16 00:00:00 UTC,,,,,,,,,
2022-01-16 00:00:00 UTC,,,,,,,,
2022-01-17 00:00:00 UTC,,,,,,,,,
2022-01-17 00:00:00 UTC,,,,,,,,
2022-01-18 00:00:00 UTC,,,,,,,,,
2022-01-18 00:00:00 UTC,,,,,,,,
2022-01-19 00:00:00 UTC,,,,,,,,,
2022-01-19 00:00:00 UTC,,,,,,,,
2022-01-20 00:00:00 UTC,,,,,,,,,
2022-01-20 00:00:00 UTC,,,,,,,,
2022-01-21 00:00:00 UTC,,,,,,,,,
2022-01-21 00:00:00 UTC,,,,,,,,
2022-01-22 00:00:00 UTC,,,,,,,,,
2022-01-22 00:00:00 UTC,,,,,,,,
2022-01-23 00:00:00 UTC,,,,,,,,,
2022-01-23 00:00:00 UTC,,,,,,,,
2022-01-24 00:00:00 UTC,,,,,,,,,
2022-01-24 00:00:00 UTC,,,,,,,,
2022-01-25 00:00:00 UTC,,,,,,,,,
2022-01-25 00:00:00 UTC,,,,,,,,
2022-01-26 00:00:00 UTC,,,,,,,,,
2022-01-26 00:00:00 UTC,,,,,,,,
2022-01-27 00:00:00 UTC,,,,,,,,,
2022-01-27 00:00:00 UTC,,,,,,,,
2022-01-28 00:00:00 UTC,,,,,,,,,
2022-01-28 00:00:00 UTC,,,,,,,,
2022-01-29 00:00:00 UTC,,,,,,,,,
2022-01-29 00:00:00 UTC,,,,,,,,
2022-01-30 00:00:00 UTC,,,,,,,,,
2022-01-30 00:00:00 UTC,,,,,,,,
2022-01-31 00:00:00 UTC,,,,,,,,,
2022-01-31 00:00:00 UTC,,,,,,,,
2022-02-01 00:00:00 UTC,,,,,,,,,
2022-02-01 00:00:00 UTC,,,,,,,,
2022-02-02 00:00:00 UTC,,,,,,,,,
2022-02-02 00:00:00 UTC,,,,,,,,
2022-02-03 00:00:00 UTC,,,,,,,,,
2022-02-03 00:00:00 UTC,,,,,,,,
2022-02-04 00:00:00 UTC,,,,,,,,,
2022-02-04 00:00:00 UTC,,,,,,,,
2022-02-05 00:00:00 UTC,,,,,,,,,
2022-02-05 00:00:00 UTC,,,,,,,,
2022-02-06 00:00:00 UTC,,,,,,,,,
2022-02-06 00:00:00 UTC,,,,,,,,
2022-02-07 00:00:00 UTC,,,,,,,,,
2022-02-07 00:00:00 UTC,,,,,,,,
2022-02-08 00:00:00 UTC,,,,,,,,,
2022-02-08 00:00:00 UTC,,,,,,,,
2022-02-09 00:00:00 UTC,,,,,,,,,
2022-02-09 00:00:00 UTC,,,,,,,,
2022-02-10 00:00:00 UTC,,,,,,,,,
2022-02-10 00:00:00 UTC,,,,,,,,
2022-02-11 00:00:00 UTC,,,,,,,,,
2022-02-11 00:00:00 UTC,,,,,,,,
2022-02-12 00:00:00 UTC,,,,,,,,,
2022-02-12 00:00:00 UTC,,,,,,,,
2022-02-13 00:00:00 UTC,,,,,,,,,
2022-02-13 00:00:00 UTC,,,,,,,,
2022-02-14 00:00:00 UTC,,,,,,,,,
2022-02-14 00:00:00 UTC,,,,,,,,
2022-02-15 00:00:00 UTC,,,,,,,,,
2022-02-15 00:00:00 UTC,,,,,,,,
2022-02-16 00:00:00 UTC,,,,,,,,,
2022-02-16 00:00:00 UTC,,,,,,,,
2022-02-17 00:00:00 UTC,,,,,,,,,
2022-02-17 00:00:00 UTC,,,,,,,,
2022-02-18 00:00:00 UTC,,,,,,,,,
2022-02-18 00:00:00 UTC,,,,,,,,
2022-02-19 00:00:00 UTC,,,,,,,,,
2022-02-19 00:00:00 UTC,,,,,,,,
2022-02-20 00:00:00 UTC,,,,,,,,,
2022-02-20 00:00:00 UTC,,,,,,,,
2022-02-21 00:00:00 UTC,,,,,,,,,
2022-02-21 00:00:00 UTC,,,,,,,,
2022-02-22 00:00:00 UTC,,,,,,,,,
2022-02-22 00:00:00 UTC,,,,,,,,
2022-02-23 00:00:00 UTC,,,,,,,,,
2022-02-23 00:00:00 UTC,,,,,,,,
2022-02-24 00:00:00 UTC,,,,,,,,,
2022-02-24 00:00:00 UTC,,,,,,,,
2022-02-25 00:00:00 UTC,,,,,,,,,
2022-02-25 00:00:00 UTC,,,,,,,,
2022-02-26 00:00:00 UTC,,,,,,,,,
2022-02-26 00:00:00 UTC,,,,,,,,
2022-02-27 00:00:00 UTC,,,,,,,,,
2022-02-27 00:00:00 UTC,,,,,,,,
2022-02-28 00:00:00 UTC,,,,,,,,,
2022-02-28 00:00:00 UTC,,,,,,,,
2022-03-01 00:00:00 UTC,,,,,,,,,
2022-03-01 00:00:00 UTC,,,,,,,,
2022-03-02 00:00:00 UTC,,,,,,,,,
2022-03-02 00:00:00 UTC,,,,,,,,
2022-03-03 00:00:00 UTC,,,,,,,,,
2022-03-03 00:00:00 UTC,,,,,,,,
2022-03-04 00:00:00 UTC,,,,,,,,,
2022-03-04 00:00:00 UTC,,,,,,,,
2022-03-05 00:00:00 UTC,,,,,,,,,
2022-03-05 00:00:00 UTC,,,,,,,,
2022-03-06 00:00:00 UTC,,,,,,,,,
2022-03-06 00:00:00 UTC,,,,,,,,
2022-03-07 00:00:00 UTC,,,,,,,,,
2022-03-07 00:00:00 UTC,,,,,,,,
