date,PM2.5,ws,wd
10/14/20,4.432,6.88,254.44
10/15/20,1.377,4.83,339.38
10/16/20,9.007,4.05,258.5
10/17/20,6.134,7.95,200
10/18/20,8.89,6.08,92
10/19/20,7.84,4.87,63.25
10/20/20,24.996,3.41,177.81
10/21/20,37.808,2.52,75.94
10/22/20,19.379,7.81,205.94
10/23/20,3.993,7.03,231.5
10/24/20,11.804,3.95,62
10/25/20,15.658,4.52,93.62
10/26/20,14.327,5.48,86.44
10/27/20,14.939,2.1,106.25
10/28/20,18.436,2.5,102.06
10/29/20,12.846,6.2,191.88
10/30/20,13.911,3.69,170.44
10/31/20,8.074,6.64,230.38
11/1/20,4.161,4.7,254.38
11/2/20,27.279,4.62,212.5
11/3/20,12.47,5.06,208.75
11/4/20,6.13,5.93,200.25
11/5/20,9.663,3.74,206.94
11/6/20,42.786,4.8,195.38
11/7/20,20.487,6.13,181.75
11/8/20,15.471,7.43,170.06
11/9/20,10.259,7.4,182.88
11/10/20,7.198,6.98,256.56
11/11/20,12.608,1.88,203.75
11/12/20,10.346,4.84,227.81
11/13/20,17.446,3.12,190.38
11/14/20,18.843,8.71,210
11/15/20,0.704,7.77,282.06
11/16/20,10.408,4.9,273.81
11/17/20,19.401,4.14,108.12
11/18/20,8.472,9.02,186.56
11/19/20,9.013,9.31,205.5
11/20/20,16.411,5.1,106.5
11/21/20,17.865,5.86,54.88
11/22/20,11.619,3.49,244.56
11/23/20,24.053,3.82,132.19
11/24/20,12.904,5.6,174.88
11/25/20,12.587,4.36,265.44
11/26/20,18.941,2.95,168.06
11/27/20,17.026,3.67,284.69
11/28/20,21.89,3.97,240.69
11/29/20,7.258,7.19,307.56
11/30/20,3.048,4.63,314.25
12/1/20,32.568,3.77,149.44
12/2/20,16.483,3.12,99.69
12/3/20,20.344,1.95,267.81
12/4/20,31.747,3.89,274.12
12/5/20,21.201,3.51,325.56
12/6/20,37.655,4.02,271.56
12/7/20,39.412,2.34,263.81
12/8/20,47.35,3.02,253.81
12/9/20,18.739,3.3,223.38
12/10/20,37.898,2.5,193.38
12/11/20,41.93,2.45,239.44
12/12/20,17.365,4.8,319.94
12/13/20,15.06,3.17,336.31
12/14/20,25.432,3.02,161.38
12/15/20,26.85,4.54,67.5
12/16/20,38.684,2.12,241.12
12/17/20,27.831,3.37,218
12/18/20,20.929,6.59,190.38
12/19/20,23.045,3.41,292.19
12/20/20,35.238,4.2,255
9/22/21,11.129,3.37,274.38
9/23/21,16.767,2.45,205.12
9/24/21,11.178,5.91,256.62
9/25/21,11.702,2.45,265.5
9/26/21,12.194,7.34,201.38
9/27/21,15.779,6.06,213.44
9/28/21,23.907,3.76,188.06
9/29/21,36.448,2.98,154.62
9/30/21,21.409,2.94,155.31
10/1/21,13.411,2.81,186.12
10/2/21,24.127,2.55,288.56
10/3/21,18.971,3.84,317.31
10/4/21,23.566,2.92,138.94
10/5/21,24.628,3.2,63.06
10/6/21,22.827,2.87,60.75
10/7/21,26.756,1.41,147.19
10/8/21,28.979,3.84,156.56
10/9/21,32.992,6.74,191.62
10/10/21,19.6166,5.44,204.5
10/11/21,12.8,6.39,289.81
10/12/21,51.815,2.92,188.62
10/13/21,15.605,6.3,226.25
10/14/21,13.725,2.8,121
10/15/21,8.867,5.35,210.56
10/16/21,11.517,4.16,292.94
10/17/21,34.063,2.94,210.31
10/18/21,18.522,4.86,194.88
10/19/21,15.465,6.17,176
10/20/21,15.263,5.69,238.62
10/21/21,8.62,4.46,258.06
10/22/21,21.102,1.91,154.12
10/23/21,17.529,4.49,109.25
10/24/21,20.744,8.45,225.88
10/25/21,8.383,3.88,156.56
10/26/21,19.97,6.13,126.25
10/27/21,25.142,6.49,122.12
10/28/21,6.884,8.49,184.12
10/29/21,7.105,7.8,345.25
10/30/21,18.435,2.94,290.19
10/31/21,27.976,5.38,247.69
11/1/21,8.948,2.25,81.06
11/2/21,15.924,1.45,136.31
11/3/21,34.841,1.3,159.19
11/4/21,19.051,3.22,177.56
11/5/21,16.433,4.8,189.88
11/6/21,17.183,4.92,201.88
11/7/21,19.678,6.84,189.69
11/8/21,23.296,4.32,203.56
11/9/21,47.808,2.77,98.5
11/10/21,36.371,5.85,183.94
11/11/21,8.761,7.49,283.88
11/12/21,5.408,7.94,294.56
11/13/21,10.084,3.91,255.19
11/14/21,11.149,4.89,261.88
11/15/21,13.173,4.75,216.31
11/16/21,32.598,6.23,195.38
11/17/21,9.737,5.95,251.62
11/18/21,7.748,4.41,270.38
11/19/21,22.74,5.28,170.19
11/20/21,19.383,3.59,165.06
11/21/21,23.484,4.52,297.56
11/22/21,14.747,2.54,139.31
11/23/21,19.649,5.64,177.12
11/24/21,16.74,6.83,234.44
11/25/21,16.422,5.7,324.44
11/26/21,24.44,5.08,195.5
11/27/21,10.72,4.6,290.62
11/28/21,13.171,2.8,276.94
11/29/21,12.368,5.15,229.38
11/30/21,35.277,2.6,88.44
12/1/21,22.149,3.55,263.38
12/2/21,15.495,3.8,209.94
12/3/21,23.439,4.49,171.69
12/4/21,22.84,5.22,67.56
12/5/21,18.432,6.74,245.12
12/6/21,6.658,6.08,249.56
12/7/21,8.754,4.81,176.38
12/8/21,12.416,3.41,205.06
12/9/21,13.408,5.24,197.06
12/10/21,21.712,7.93,173
12/11/21,10.129,6.84,269.06
12/12/21,7.196,6.77,200.31
12/13/21,10.774,4.24,186.44
12/14/21,19.807,6.22,183.12
12/15/21,13.512,12.26,210.75
12/16/21,42.683,4.29,256.06
12/17/21,32.785,4.94,89.25
12/18/21,34.688,5.34,335.88
12/19/21,48.448,3.55,175.31
12/20/21,35.692,5.04,182.5
,,,
,,,
,,,